Trap_ID,outDate,inDate,days_total,bottle_vol,liquid
1,14/08/2017,26/08/2017,12,0.5,Beer
3,16/08/2017,22/08/2017,6,0.5,Orange
4,28/08/2017,03/09/2017,6,2,Orange
5,05/09/2017,08/09/2017,3,2,Beer
6,24/08/2017,02/09/2017,9,2,Orange
8,25/08/2017,02/09/2017,8,2,Beer
9,25/08/2017,01/09/2017,7,0.5,Beer
10,26/08/2017,31/08/2017,5,0.5,Orange
11,26/08/2017,02/09/2017,7,1.5,Orange
12,25/08/2017,01/09/2017,7,1,Orange
15,25/08/2017,31/08/2017,6,2,Beer
17,29/08/2017,05/09/2017,7,2,Beer
18,24/08/2017,01/09/2017,8,2,Beer
19,01/09/2017,08/09/2017,7,0.5,Beer
20,25/08/2017,01/09/2017,7,1.5,Beer
21,26/08/2017,01/09/2017,6,2,Orange
22,25/08/2017,01/09/2017,7,1,Beer
23,25/08/2017,28/08/2017,3,1.5,Orange
24,25/08/2017,31/08/2017,6,0.5,Beer
25,23/08/2017,30/08/2017,7,1.5,Beer
26,25/08/2017,01/09/2017,7,1,Beer
28,27/08/2017,03/09/2017,7,2,Beer
29,27/08/2017,03/09/2017,7,1,Orange
30,24/08/2017,31/08/2017,7,2,Beer
31,26/08/2017,03/09/2017,8,1,Orange
32,25/08/2017,02/09/2017,8,1,Beer
33,24/08/2017,01/09/2017,8,1.5,Beer
34,24/08/2017,31/08/2017,7,1.5,Orange
35,26/08/2017,03/09/2017,8,1,Beer
36,25/08/2017,01/09/2017,7,0.5,Beer
37,26/08/2017,02/09/2017,7,0.5,Beer
38,25/08/2017,01/09/2017,7,2,Beer
41,26/08/2017,01/09/2017,6,1.5,Beer
42,24/08/2017,30/08/2017,6,1,Orange
44,25/08/2017,02/09/2017,8,0.5,Beer
45,25/08/2017,01/09/2017,7,2,Beer
46,26/08/2017,09/09/2017,14,2,Beer
48,25/08/2017,01/09/2017,7,1.5,Orange
49,29/08/2017,08/09/2017,10,2,Beer
52,31/08/2017,07/09/2017,7,2,Beer
53,26/08/2017,05/09/2017,10,1,Beer
54,25/08/2017,01/09/2017,7,1,Beer
57,25/08/2017,01/09/2017,7,0.5,Orange
58,29/08/2017,06/09/2017,8,2,Beer
59,25/08/2017,01/09/2017,7,0.5,Beer
60,24/08/2017,31/08/2017,7,0.5,Orange
62,30/08/2017,06/09/2017,7,1,Orange
63,27/08/2017,03/09/2017,7,2,Beer
65,31/08/2017,07/09/2017,7,2,Beer
66,01/09/2017,08/09/2017,7,2,Beer
67,26/08/2017,01/09/2017,6,1.5,Beer
68,27/08/2017,03/09/2017,7,2,Beer
69,25/08/2017,02/09/2017,8,1.5,Beer
70,25/08/2017,02/09/2017,8,1.5,Beer
71,04/09/2017,10/09/2017,6,0.5,Orange
73,03/09/2017,10/09/2017,7,1.5,Beer
74,25/08/2017,31/08/2017,6,0.5,Beer
75,25/08/2017,01/09/2017,7,1,Beer
78,27/08/2017,04/09/2017,8,0.5,Beer
79,26/08/2017,02/09/2017,7,1.5,Beer
83,NA,NA,NA,NA,NA
85,25/08/2017,01/09/2017,7,1,Orange
86,30/08/2017,06/09/2017,7,2,Beer
87,27/08/2017,03/09/2017,7,2,Beer
89,26/08/2017,02/09/2017,7,0.5,Orange
90,25/08/2017,01/09/2017,7,1,Orange
94,25/08/2017,01/09/2017,7,1,Beer
95,27/08/2017,27/08/2017,0,0.5,Orange
97,22/08/2017,24/08/2017,2,0.5,Orange
98,24/08/2017,31/08/2017,7,1,Beer
99,27/08/2017,04/09/2017,8,2,Orange
101,29/08/2017,05/09/2017,7,2,Beer
102,24/08/2017,31/08/2017,7,2,Beer
103,26/08/2017,03/09/2017,8,2,Beer
104,25/08/2017,01/09/2017,7,1.5,Orange
105,29/08/2017,06/09/2017,8,1,Orange
106,27/08/2017,12/09/2017,16,0.5,Beer
110,27/08/2017,03/09/2017,7,2,Orange
115,27/08/2017,03/09/2017,7,2,Beer
119,27/08/2017,04/09/2017,8,1.5,Beer
122,29/08/2017,05/09/2017,7,2,Beer
123,02/09/2017,09/09/2017,7,2,Beer
124,24/08/2017,31/08/2017,7,0.5,Beer
125,24/08/2017,02/09/2017,9,0.5,Beer
126,25/08/2017,31/08/2017,6,2,Beer
131,25/08/2017,31/08/2017,6,1.5,Orange
132,24/08/2017,03/09/2017,10,0.5,Orange
134,25/08/2017,01/09/2017,7,1.5,Orange
137,26/08/2017,02/09/2017,7,1.5,Beer
138,26/08/2017,03/09/2017,8,1.5,Beer
142,26/08/2017,01/09/2017,6,2,Beer
147,01/09/2017,08/09/2017,7,1.5,Orange
148,25/08/2017,02/09/2017,8,0.5,Orange
151,27/08/2017,03/09/2017,7,0.5,Beer
152,26/08/2017,02/09/2017,7,1,Orange
154,24/08/2017,02/09/2017,9,1,Orange
160,26/08/2017,01/09/2017,6,1,Orange
161,27/08/2017,03/09/2017,7,2,Beer
163,26/08/2017,02/09/2017,7,1.5,Beer
165,25/08/2017,01/09/2017,7,1.5,Orange
166,28/08/2017,02/09/2017,5,1,Beer
167,26/08/2017,02/09/2017,7,1,Beer
168,25/08/2017,01/09/2017,7,2,Beer
169,28/08/2017,04/09/2017,7,2,Beer
172,06/09/2017,13/09/2017,7,2,Beer
173,06/09/2017,14/09/2017,8,0.5,Beer
175,25/08/2017,01/09/2017,7,1.5,Beer
176,29/08/2017,06/09/2017,8,2,Beer
178,26/08/2017,05/09/2017,10,1.5,Beer
179,08/09/2017,15/09/2017,7,1.5,Beer
182,NA,NA,NA,NA,NA
183,27/08/2017,03/09/2017,7,2,Orange
186,29/08/2017,04/09/2017,6,1.5,Orange
187,25/08/2017,01/09/2017,7,1,Orange
192,26/08/2017,02/09/2017,7,1.5,Beer
193,26/08/2017,03/09/2017,8,0.5,Beer
196,26/08/2017,02/09/2017,7,1.5,Orange
