ID,outDate,inDate,type
1,27/08/2017,03/09/2017,Beer
2,27/08/2017,03/09/2017,Orange
3,01/09/2017,08/09/2017,Beer
4,27/08/2017,03/09/2017,Beer
6,27/08/2017,03/09/2017,Beer
7,01/09/2017,08/09/2017,Beer
9,26/08/2017,01/09/2017,Beer
10,31/08/2017,06/09/2017,Beer
11,25/08/2017,01/09/2017,Beer
12,25/08/2017,01/09/2017,Beer
14,25/08/2017,01/09/2017,Beer
15,30/08/2017,06/09/2017,Beer
17,01/09/2017,08/09/2017,Beer
18,25/08/2017,01/09/2017,Beer
23,31/08/2017,07/09/2017,Beer
28,25/08/2017,01/09/2017,Beer
35,27/08/2017,03/09/2017,Orange
36,27/08/2017,03/09/2017,Beer
38,25/08/2017,01/09/2017,Beer
40,25/08/2017,01/09/2017,Beer
42,31/08/2017,07/09/2017,Orange
47,27/08/2017,03/09/2017,Beer
49,27/08/2017,03/09/2017,Beer
59,01/09/2017,08/09/2017,Orange
61,28/08/2017,04/09/2017,Beer
62,25/08/2017,01/09/2017,Orange
64,30/08/2017,05/09/2017,Beer
71,27/08/2017,03/09/2017,Beer
72,,,
73,01/09/2017,08/09/2017,Beer
75,27/08/2017,03/09/2017,Beer
76,25/08/2017,02/09/2017,Beer
77,25/08/2017,01/09/2017,Beer
78,25/08/2017,01/09/2017,Orange
79,25/08/2017,01/09/2017,Beer
81,25/08/2017,01/09/2017,Orange
82,27/08/2017,02/09/2017,Beer
91,25/08/2017,01/09/2017,Beer
95,25/08/2017,01/09/2017,Orange
96,27/08/2017,02/09/2017,Beer
97,25/08/2017,02/09/2017,Orange
98,25/08/2017,01/09/2017,Beer
99,01/09/2017,08/09/2017,Beer
101,28/08/2017,02/09/2017,Orange
103,25/08/2017,02/09/2017,Beer
105,27/08/2017,03/09/2017,Beer
112,27/08/2017,02/09/2017,Beer
113,27/08/2017,03/09/2017,Beer
115,27/08/2017,02/09/2017,Orange
117,01/09/2017,08/09/2017,Beer
119,25/08/2017,01/09/2017,Beer
121,01/09/2017,08/09/2017,Beer
125,25/08/2017,01/09/2017,Beer
126,25/08/2017,01/09/2017,Orange
127,01/09/2017,07/09/2017,Beer
129,25/08/2017,01/09/2017,Beer
137,29/08/2017,05/09/2017,Orange
