"Heterozygosity, Fstatistics and Polymorphism by Population for Codominant Data",,,,,,,,,
,,,,,,,,,
Data Sheet,08b_BWS_Data_50_NoSibs_2018_Gen,,,,,,,,
Data Title,,,,,,,,,
,,,,,,,,,
No. Loci,13,,,,,,,,
No. Samples,186,,,,,,,,
No. Pops.,1,,,,,,,,
,,,,,,,,,
"Sample Size, No. Alleles, No. Effective Alleles, Information Index, Observed Heterozygosity, Expected and Unbiased Expected Heterozygosity, and Fixation Index",,,,,,,,,
,,,,,,,,,
Pop,Locus,N,Na,Ne,I,Ho,He,uHe,F
Pop1,LIST2007,181,8.000,1.746,0.865,0.365,0.427,0.429,0.147
,LIST2003,176,17.000,5.012,2.042,0.733,0.800,0.803,0.084
,LIST2013,161,10.000,3.580,1.447,0.652,0.721,0.723,0.095
,LIST2018,165,16.000,7.578,2.232,0.697,0.868,0.871,0.197
,VMA3,155,9.000,2.940,1.330,0.516,0.660,0.662,0.218
,LIST2001,181,16.000,8.444,2.383,0.785,0.882,0.884,0.110
,LIST2011,182,4.000,1.432,0.574,0.330,0.302,0.302,-0.093
,VMA6,143,12.000,6.201,2.067,0.664,0.839,0.842,0.208
,R1.169,180,16.000,3.427,1.824,0.694,0.708,0.710,0.019
,LIST2017,178,7.000,1.327,0.539,0.191,0.246,0.247,0.224
,Rufa19,132,14.000,5.138,1.908,0.667,0.805,0.808,0.172
,D3.15,147,17.000,4.994,2.150,0.721,0.800,0.802,0.098
,VMA4,120,15.000,4.822,1.995,0.558,0.793,0.796,0.296
,,,,,,,,,
Mean and SE over Loci for each Pop,,,,,,,,,
,,,,,,,,,
Pop,,N,Na,Ne,I,Ho,He,uHe,F
Pop1,Mean,161.615,12.385,4.357,1.643,0.583,0.681,0.683,0.137
,SE,5.776,1.206,0.621,0.176,0.050,0.060,0.060,0.028
,,,,,,,,,
Percentage of Polymorphic Loci,,,,,,,,,
,,,,,,,,,
Population,%P,,,,,,,,
Pop1,100.00%,,,,,,,,
,,,,,,,,,
Na = No. of Different Alleles,,,,,,,,,
Ne = No. of Effective Alleles = 1 / (Sum pi^2),,,,,,,,,
I = Shannon's Information Index = -1* Sum (pi * Ln (pi)),,,,,,,,,
Ho = Observed Heterozygosity = No. of Hets / N,,,,,,,,,
He = Expected Heterozygosity = 1 - Sum pi^2,,,,,,,,,
uHe = Unbiased Expected Heterozygosity = (2N / (2N-1)) * He,,,,,,,,,
F = Fixation Index = (He - Ho) / He = 1 - (Ho / He),,,,,,,,,
Where pi is the frequency of the ith allele for the population & Sum pi^2 is the sum of the squared population allele frequencies.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Warning! Results should be treated with caution given the following:,,,,,,,,,
There is 13% missing data at the locus 'LIST2013' in the population 'Pop1!,,,,,,,,,
There is 11% missing data at the locus 'LIST2018' in the population 'Pop1!,,,,,,,,,
There is 16% missing data at the locus 'VMA3' in the population 'Pop1!,,,,,,,,,
There is 23% missing data at the locus 'VMA6' in the population 'Pop1!,,,,,,,,,
There is 29% missing data at the locus 'Rufa19' in the population 'Pop1!,,,,,,,,,
There is 20% missing data at the locus 'D3.15' in the population 'Pop1!,,,,,,,,,
There is 35% missing data at the locus 'VMA4' in the population 'Pop1!,,,,,,,,,
